152;Warum sollt ich mich denn grämen
153;Jesu, meine Freude
154;Wer nur den lieben Gott läßt walten
155;Wunderanfang, herrlich's Ende
156;Was Gott tut, das ist wohlgetan
157;Ein Christ wird ohne Kreuz nicht sein
158;Jesu, hilf siegen
159;Der Glaub ist feste Zuversicht
160;Jesus nimmt die Sünder an
161;Ach, wenn ich dich, mein Gott, nur habe
162;Gott lebt! Wie kann ich traurig sein
163;Gott will machen, daß die Sachen
164;Schönster Herr Jesus
165;Wie Gott mich führt, so will ich gehn
166;Du führst mich, Herr
167;Ich schließe mich auf's neue
168a;Jesu, Heiland meiner Seele
168b;Jesu, Heiland meiner Seele
169;Gott, deine Güte reicht so weit
170;Das ist eine sel’ge Stunde
171;Gott ist getreu
172;Wenn ich verlassen scheine
173;Gern in alles mich zu fügen
174;Meines Herzens reinste Freude
175;Dein Wort, o Herr, ist milder Tau
176;Jesu, Lebensfürst, geladen
177;Stark ist meines Jesu Hand
178;Zaget nicht, wenn Dunkelheiten
179;Gott mit mir auf allen Wegen
180;Herr, bleib bei mir
181;Nicht menschlicher Rat
182;O Vaterhand, die mich so treu geführet
183a;Wort des Lebens, laut’re Quelle
183b;Wort des Lebens, laut’re Quelle
184;Stillehalten deinem Walten
185;So halte fest denn, was du hast
186;An deinem Wort, Herr, will ich bleiben
187;Keiner ward zuschanden
188;Wie hat man’s doch bei dir so gut
189;Mit dir, o Herr, verbunden
190;Harre, meine Seele
191;Nimm Jesus in dein Lebensschiff
192;Du, unser Haupt, Herr Jesu Christ
193;Wie groß ist Gottes Macht
194;So nimm denn meine Hände
195;Bietet Gott in seinem Sohne
196;Ich weiß einen Strom
197;Mir ward in bangen Sorgen
198;Immer mutig vorwärts
199;Ich brauch dich allezeit
200;Licht nach dem Dunkel
201;Seht, wie Daniel in Babel betet
202;Vor meines Herzens König
203;Wenn, Herr, mein Herz ist fern von dir
204;Einen goldnen Wanderstab
205;Es mag sein, dass alles fällt
206;Mein Vater ist reich
207;In dem Herren freuet euch
208;Herr, deine Güt ist unbegrenzt
209;Gottes Wege, sie sind richtig
210;Wenn der Herr ein Kreuze schickt
211;Mein Gott, verlaß mich nicht
212;Reiches Versprechen
213;Glaube leitet uns durch's Leben
214;Wenn du in des Lebens Stürmen
215;Wie hab ich doch zum Leiden
216;Mein Vater wie du willst
217;Um Gold und Schätze bitt ich nicht
218;O Jesu, Jesu, Gottes Sohn
219;Seelenbräutigam
220;Ich will dich immer treuer lieben
221;Ich bete an die Macht der Liebe
222;Preiset Gott, denn Gott ist Liebe
223;Wie dank ich’s Jesus, deiner Liebe
224;O Wunderliebe, die mich wählte
225;Wie wohl ist mir, wenn mein Gemüte
226;Gelobet seist du, Gott der Macht
227;Wie groß ist des Allmächt’gen Güte
228;Mein Herr ist unbeschreiblich gut
229;Wie ein Hirt, sein Volk zu weiden
230;Ein Gärtner geht im Garten
231;Wir haben einen Hirten
232;Ein lieblich Los ist uns gefallen
233;Ach komm, füll unsre Seelen ganz
234;Gott ist die Liebe
235;Kleine Tropfen Wasser
236;Mehr lieben möchte ich dich
237;Welch ein Freund ist unser Jesus
238;Jetzt, in unsren Jugendtagen
239a;Einen Freund hab ich gefunden
239b;Einen Freund hab ich gefunden
240;Menschenfreund, nach deinem Bilde
241;Jesus nur alleine!
242;Laßt die Herzen immer fröhlich
243;Die Liebe ist viel stärker als der Tod
244;Die Gnade sei mit allen
245;Mir ist Erbarmung wiederfahren
246;Gott, deine Gnad ist unser Leben
247;Lobt Gott, erlöste Scharen
248;Noch ist die Gnadenpforte
249;Ew’ges Erbarmen
250;Eine Botschaft voll  Erbarmen
251;Welche Wahl! Aus Gottes Gnaden
252;O ein Gnadenmeer
253;Seele, auf, ich will’s verkünden
254;Wie herrlich,  wie selig bei Jesus
255;Großer Gott, wir loben dich
256;Nun danket alle Gott
257a;Du, meine Seele, singe
257b;Du, meine Seele, singe
258;Ich singe dir mit Herz und Mund
259;Sollt ich meinem Gott nicht singen
260;Sei Lob und Ehr dem höchsten Gut
261;Lobe den Herren, den mächtigen
262;O dass ich tausend Zungen hätte
263;Lobe den Herren, o meine Seele
264;Ich rühme die Barmherzigkeit
265;Die Himmel rühmen des Ewigen Ehre
266;Gott ist mein Lied
267;Wenn ich, o Schöpfer, deine Macht
268;Der Herr ist Gott und keiner mehr
269;Weil ich Jesu Schäflein bin
270;Jauchzt, alle Lande
271;Singt, singt dem Herren neue Lieder
272;Danket dem Herrn
273;Lobt froh den Herrn
274;Laßt froh uns Dankeslieder singen
275;Laßt uns fröhlich Lieder singen
276;Herr, du hast uns reich gesegnet
277;Herr, dir sei Preis
278;Dank, Herr, für den Unterricht
279;Jesu Dank zu bringen
280;Dich loben deine Werke, du ewig reicher Gott
281;Liebster Jesu, hier sind wir
282;Bei dir, Jesu, will ich bleiben
283;Gott ist dein Gott
284;Friedefürst, dass von der Erde
285;Gott, der du alles Leben schufst
286;Wie bist du mir so innig gut
287;Herr, der du mir das Leben
288;O du, den meine Seele liebt
289;O Jesu, meine Sonne
290;Seliger Friede, köstliche Gab
291;Reicher König, Wirt voll Gnaden
292a;O wie selig sind die Seelen
292b;O wie selig sind die Seelen
293;O in den Armen Jesu
294;Welch Glück ist’s, erlöst zu sein
295;Wenn Friede mit Gott
296;Seliges Wissen
297;Zu Jesu Füßen darf ich nun
298;Erlöst bin ich, selig in Jesu
299;Ich hab in Jesu Heil gefunden
300;Herrliche , liebliche Stunde
301;Wie heilig ist doch dieser Ort
302;Eine reine Liebesquelle
303;Süße Kost des Himmels
304;O das Heil hab ich gefunden
305;Nun kommt herzu, ihr Seelen
306;Nun ist es geschehn
307;Dein bin ich, Gott, dir will ich mich
308;Sieh, Vater, hier die Seelen an
309;Ich bin getauft und Gott geweiht
310;Ich bin in dir und du in mir
311;Geh früh, dich zu erquicken
312;Nur einen Wunsch
313;Vor die Gemeinde treten
314;Herr Jesu, dir zu leben
315;Bewahr auf deinen Wegen
316;Herr, vor dein Antlitz treten zwei
317;Zwei Hände wollen heute sich
318;Wir stehn vor deinem Angesicht
319;Freuet euch im Herren allewege!
320;Du hast uns, Herr, in dir verbunden
321;Gott, unser Festtag ist gekommen
322;Aus meines Herzens Grunde
323;Nun ruhen alle Wälder
324;Abend ist es, laß mich treten
325;Der Tag, mein Gott, ist nun vergangen
326;Abend ward, bald kommt die Nacht
327;Nun jauchzt dem Herren, alle Welt
328;Stimmt an mit vollem Klang
329;Jesu, der du bist alleine
330;Jesus Christus ist der Eine
331;Herr, der du einst gekommen bist
332;Herz und Herz vereint zusammen
333;Alles meinem Gott zu Ehren
334;Zu lernen bleibt noch unsern Seelen viel
335;Es kennt der Herr die Seinen
336;Gottes Stadt steht fest gegründet
337;O ihr Friedenskinder
338;O selig Haus, wo man dich aufgenommen
339;Reicht euch die Hände
340;Auf den Berg der Seligkeiten
341;Was hat uns so verbunden
342;Ihr Schwestern und ihr Brüder
343;Es pilgert durch die Lande
344;Herrlich, herrlich bauet Gott sein Werk
345;Preisend zieht auf lichtem Pfade
346;O wie köstlich sind die Stunden
347;O Jesu Christe, wahres Licht
348;Such, wer da will, ein ander Ziel
349;Heil’ger Jesu, Heil’gungsquelle
350;Wohl mir, dass ich Jesum habe
351;Ich will dich lieben meine Stärke
352;Mir nach! spricht Christus
353;Jesu, meiner Seelen Leben
354;Sei getreu und weiche nicht
355;Mache dich, mein Geist bereit
356;Auf, Seele, auf zu deiner Zeit
357;Kommt, Kinder, lasst uns gehen
358;Jesu, geh voran
359;Es ist etwas, des Heilands sein
360;Wie selig ist das Volk des Herrn
361;In Gottes Reich geht niemand ein
362;Reich des Herrn
363;Das sei alle meine Tage
364;Bleibt bei dem, der euretwillen
365;Auf, lasst uns Zion bauen
366a;Näher, mein Gott zu dir
366b;Näher, mein Gott zu dir
367;Nimm unser Herz gefangen
368;Ich soll zum Leben dringen
369;Wir können’s ja nicht lassen
370;Herr, mein Heiland und mein Hirte
371;Stern, auf den ich schaue
372;Brüder, auf zu dem Werk
373;Herr, mein Leben, es sei dein
374;Herrlich strahlt des Meisters Gnade
375;Blicke nur auf Jesus
376;Nahe bei Jesus, o Leben so schön
377;Gott will allzeit treue Diener
378;Ich schäme mich des Heilands nicht
379;Es ist ein Wort ergangen
380;Herr Christ, mach uns zum Dienst bereit
381;Hilf, Herr, mir überwinden
382;Das Gotteshaus ist unsre Lust
383;Im Dienste Jesu stehen
384;O Vater, sei gepriesen
385;Höret, ein schmaler Weg
386;Komm, hör sein Wort
387;Auf, auf und lasst uns eilen
388;Auf, Zion, jauchze voller Freud
389;"""Wachet auf!"" ruft uns die Stimme"
390;Morgenglanz der Ewigkeit
391;Ach, wie wünsch ich, dich zu schauen
392;Ich lobe dich, mein Auge schaut
393;Der Herr bricht ein um Mitternacht
394;Himmelan geht unsre Bahn
395;Fort, fort, mein Herz, zum Himmel
396;Einen Tag im Himmel leben
397;Ich will streben nach dem Leben
398;Wir warten dein, o Gottessohn
399;Einst herrlich dort zu werden
400;Ich hab von ferne
401;Ihr aufgehobnen Jesuhände
402;Auf ewig bei dem Herrn
403;Wo findet die Seele die Heimat
404;Wie wird uns sein
405;Auf, und mache dich bereit
406;Herrliches, liebliches Zion
407;Wenn der Heiland
408;Hört, Jesus ruft
409;Brich herein, süßer Schein
410;Ich weiß nicht, wann Christus
411;Treff ich dich wohl bei der Quelle
412a;Es harrt die Braut so lange schon
412b;Es harrt die Braut so lange schon
413;Die Lenden lasst umgürtet sein
414;Heimatland, Heimatland
415;Der Bräut’gam kommt
416;Es lebt in meinem Herzen
417a;Nach Zion, meine Seele
417b;Nach Zion, meine Seele
418;Dem Ziele zu!
419;Noch kann ich es nicht fassen
420;Auf, auf, ihr Gotteskinder
421;Es geht heimwärts,ihr Pilger
422;Sehn wir uns wohl einmal wieder
423;Braut des Herrn, voll sel’ger Freud
424;Auf nun, lasst uns hier im Leben
425;Wann schlägt die Stunde
426;In die Herrlichkeit möcht‘ ich gehn
427;Ich weiß ein herrlich Land
428;Wer überwindet
429;Bewahr dem Herrn die Treue
430;Ach wie flüchtig, ach wie nichtig
431;Jesus, meine Zuversicht
432;Gott ist und bleibt getreu
433;Teuer ist der Tod der Deinen
434;Lasst mich gehen
435;Meine Heimat ist dort in der Höh
436;Die Heimat beim Vater
437;Gleich wie die schimmernden Sterne erblassen
438;Wo keine Wolke mehr sich türmt
